[2016-10-25 09:40:28,919] : 东方财富开始爬取...
[2016-10-25 09:55:21,884] : 爬取第1页
[2016-10-25 09:55:23,075] : 爬取完成，解析0条数据
[2016-10-25 09:55:33,108] : 爬取第1页
[2016-10-25 09:55:38,317] : 爬取完成，解析0条数据
[2016-10-25 09:55:48,329] : 爬取第1页
[2016-10-25 09:55:49,676] : 爬取完成，解析0条数据
[2016-10-25 09:55:59,687] : 爬取第1页
[2016-10-25 09:55:59,969] : 爬取完成，解析0条数据
[2016-10-25 09:56:09,981] : 爬取第1页
[2016-10-25 09:56:10,239] : 爬取完成，解析0条数据
[2016-10-25 09:56:20,274] : 爬取第1页
[2016-10-25 09:56:20,860] : 爬取完成，解析0条数据
[2016-10-25 09:56:30,895] : 爬取第1页
[2016-10-25 09:56:31,098] : 爬取完成，解析0条数据
[2016-10-25 09:56:41,109] : 爬取第1页
[2016-10-25 09:56:41,527] : 爬取完成，解析0条数据
[2016-10-25 09:56:51,554] : 爬取第1页
[2016-10-25 09:56:52,142] : 爬取完成，解析0条数据
[2016-10-25 09:57:02,161] : 爬取第1页
[2016-10-25 09:57:03,458] : 爬取完成，解析0条数据
[2016-10-25 09:57:13,482] : 爬取第1页
[2016-10-25 09:57:16,267] : 爬取完成，解析0条数据
[2016-10-25 09:57:26,284] : 爬取第1页
[2016-10-25 09:57:26,672] : 爬取完成，解析0条数据
[2016-10-25 09:57:36,691] : 爬取第1页
[2016-10-25 09:57:37,990] : 爬取完成，解析0条数据
[2016-10-25 09:57:47,999] : 爬取第1页
[2016-10-25 09:57:48,797] : 爬取完成，解析0条数据
[2016-10-25 09:57:58,810] : 爬取第1页
[2016-10-25 09:57:59,363] : 爬取完成，解析0条数据
[2016-10-25 09:58:09,369] : 爬取第1页
[2016-10-25 09:58:11,556] : 成功入库5条
[2016-10-25 09:58:21,565] : 爬取第1页
[2016-10-25 09:58:21,900] : 爬取完成，解析0条数据
[2016-10-25 09:58:31,912] : 爬取第1页
[2016-10-25 09:58:33,108] : 爬取完成，解析0条数据
[2016-10-25 09:58:43,123] : 爬取第1页
[2016-10-25 09:58:43,616] : 爬取完成，解析0条数据
[2016-10-25 09:58:53,624] : 爬取第1页
[2016-10-25 09:58:54,314] : 爬取完成，解析0条数据
[2016-10-25 09:59:04,321] : 爬取第1页
[2016-10-25 09:59:04,787] : 爬取完成，解析0条数据
[2016-10-25 09:59:14,796] : 爬取第1页
[2016-10-25 09:59:15,331] : 爬取完成，解析0条数据
[2016-10-25 09:59:25,338] : 爬取第1页
[2016-10-25 09:59:26,173] : 爬取完成，解析0条数据
[2016-10-25 09:59:36,194] : 爬取第1页
[2016-10-25 09:59:36,913] : 爬取完成，解析0条数据
[2016-10-25 09:59:46,919] : 爬取第1页
[2016-10-25 09:59:47,283] : 爬取完成，解析0条数据
[2016-10-25 09:59:57,294] : 爬取第1页
[2016-10-25 09:59:57,960] : 爬取完成，解析0条数据
[2016-10-25 10:00:07,967] : 爬取第1页
[2016-10-25 10:00:08,256] : 爬取完成，解析0条数据
[2016-10-25 10:00:18,275] : 爬取第1页
[2016-10-25 10:00:18,488] : 爬取完成，解析0条数据
[2016-10-25 10:00:28,495] : 爬取第1页
[2016-10-25 10:00:29,341] : 爬取完成，解析0条数据
[2016-10-25 10:00:39,348] : 爬取第1页
[2016-10-25 10:00:40,506] : 爬取完成，解析0条数据
[2016-10-25 10:00:50,523] : 爬取第1页
[2016-10-25 10:00:50,741] : 爬取完成，解析0条数据
[2016-10-25 10:01:00,754] : 爬取第1页
[2016-10-25 10:01:00,944] : 爬取完成，解析0条数据
[2016-10-25 10:01:10,958] : 爬取第1页
[2016-10-25 10:01:12,032] : 爬取完成，解析0条数据
[2016-10-25 10:01:22,048] : 爬取第1页
[2016-10-25 10:01:22,310] : 爬取完成，解析0条数据
[2016-10-25 10:01:32,317] : 爬取第1页
[2016-10-25 10:01:32,897] : 爬取完成，解析0条数据
[2016-10-25 10:01:42,912] : 爬取第1页
[2016-10-25 10:01:43,176] : 爬取完成，解析0条数据
[2016-10-25 10:01:53,193] : 爬取第1页
[2016-10-25 10:01:53,386] : 爬取完成，解析0条数据
[2016-10-25 10:02:03,393] : 爬取第1页
[2016-10-25 10:02:03,583] : 爬取完成，解析0条数据
[2016-10-25 10:02:13,590] : 爬取第1页
[2016-10-25 10:02:14,499] : 爬取完成，解析0条数据
[2016-10-25 10:02:24,507] : 爬取第1页
[2016-10-25 10:02:25,683] : 爬取完成，解析0条数据
[2016-10-25 10:02:35,699] : 爬取第1页
[2016-10-25 10:02:36,022] : 爬取完成，解析0条数据
[2016-10-25 10:02:46,034] : 爬取第1页
[2016-10-25 10:02:46,208] : 爬取完成，解析0条数据
[2016-10-25 10:02:56,237] : 爬取第1页
[2016-10-25 10:02:56,384] : 爬取完成，解析0条数据
[2016-10-25 10:03:06,402] : 爬取第1页
[2016-10-25 10:03:06,540] : 爬取完成，解析0条数据
[2016-10-25 10:03:16,572] : 爬取第1页
[2016-10-25 10:03:16,750] : 爬取完成，解析0条数据
[2016-10-25 10:03:26,763] : 爬取第1页
[2016-10-25 10:03:26,980] : 爬取完成，解析0条数据
[2016-10-25 10:03:37,003] : 爬取第1页
[2016-10-25 10:03:37,444] : 爬取完成，解析0条数据
[2016-10-25 10:03:47,456] : 爬取第1页
[2016-10-25 10:03:47,770] : 爬取完成，解析0条数据
[2016-10-25 10:03:57,782] : 爬取第1页
[2016-10-25 10:03:57,962] : 爬取完成，解析0条数据
[2016-10-25 10:04:07,969] : 爬取第1页
[2016-10-25 10:04:08,249] : 爬取完成，解析0条数据
[2016-10-25 10:04:18,269] : 爬取第1页
[2016-10-25 10:04:18,615] : 爬取完成，解析0条数据
[2016-10-25 10:04:28,622] : 爬取第1页
[2016-10-25 10:04:29,305] : 成功入库8条
[2016-10-25 10:04:39,318] : 爬取第1页
[2016-10-25 10:04:39,503] : 爬取完成，解析0条数据
[2016-10-25 10:04:49,536] : 爬取第1页
[2016-10-25 10:04:49,738] : 爬取完成，解析0条数据
[2016-10-25 10:04:59,775] : 爬取第1页
[2016-10-25 10:05:00,604] : 爬取完成，解析0条数据
[2016-10-25 10:05:10,621] : 爬取第1页
[2016-10-25 10:05:10,823] : 爬取完成，解析0条数据
[2016-10-25 10:05:20,854] : 爬取第1页
[2016-10-25 10:05:21,051] : 爬取完成，解析0条数据
[2016-10-25 10:05:31,066] : 爬取第1页
[2016-10-25 10:05:31,361] : 爬取完成，解析0条数据
[2016-10-25 10:05:41,374] : 爬取第1页
[2016-10-25 10:05:41,624] : 爬取完成，解析0条数据
[2016-10-25 10:05:51,660] : 爬取第1页
[2016-10-25 10:05:51,860] : 爬取完成，解析0条数据
[2016-10-25 10:06:01,876] : 爬取第1页
[2016-10-25 10:06:02,676] : 爬取完成，解析0条数据
[2016-10-25 10:06:12,706] : 爬取第1页
[2016-10-25 10:06:12,979] : 爬取完成，解析0条数据
[2016-10-25 10:06:23,011] : 爬取第1页
[2016-10-25 10:06:24,246] : 爬取完成，解析0条数据
[2016-10-25 10:06:34,253] : 爬取第1页
[2016-10-25 10:06:34,513] : 爬取完成，解析0条数据
[2016-10-25 10:06:44,521] : 爬取第1页
[2016-10-25 10:06:44,730] : 爬取完成，解析0条数据
[2016-10-25 10:06:54,752] : 爬取第1页
[2016-10-25 10:06:55,124] : 爬取完成，解析0条数据
[2016-10-25 10:07:05,138] : 爬取第1页
[2016-10-25 10:07:05,840] : 爬取完成，解析0条数据
[2016-10-25 10:07:15,852] : 爬取第1页
[2016-10-25 10:07:16,231] : 爬取完成，解析0条数据
[2016-10-25 10:07:26,249] : 爬取第1页
[2016-10-25 10:07:26,419] : 爬取完成，解析0条数据
[2016-10-25 10:07:36,436] : 爬取第1页
[2016-10-25 10:07:36,970] : 爬取完成，解析0条数据
[2016-10-25 10:07:46,978] : 爬取第1页
[2016-10-25 10:07:47,174] : 爬取完成，解析0条数据
[2016-10-25 10:07:57,181] : 爬取第1页
[2016-10-25 10:07:58,453] : 爬取完成，解析0条数据
[2016-10-25 10:08:08,468] : 爬取第1页
[2016-10-25 10:08:09,161] : 成功入库20条
[2016-10-25 10:08:09,171] : 爬取第2页
[2016-10-25 10:08:09,389] : 成功入库20条
[2016-10-25 10:08:09,426] : 爬取第3页
[2016-10-25 10:08:09,700] : 成功入库20条
[2016-10-25 10:08:09,738] : 爬取第4页
[2016-10-25 10:08:09,989] : 成功入库20条
[2016-10-25 10:08:10,024] : 爬取第5页
[2016-10-25 10:08:10,278] : 成功入库20条
[2016-10-25 10:08:10,310] : 爬取第6页
[2016-10-25 10:08:10,686] : 成功入库20条
[2016-10-25 10:08:10,729] : 爬取第7页
[2016-10-25 10:08:11,000] : 成功入库20条
[2016-10-25 10:08:11,022] : 爬取第8页
[2016-10-25 10:08:11,400] : 成功入库20条
[2016-10-25 10:08:11,413] : 爬取第9页
[2016-10-25 10:08:11,678] : 成功入库20条
[2016-10-25 10:08:11,719] : 爬取第10页
[2016-10-25 10:08:12,012] : 成功入库20条
[2016-10-25 10:08:12,031] : 爬取第11页
[2016-10-25 10:08:12,311] : 成功入库20条
[2016-10-25 10:08:12,333] : 爬取第12页
[2016-10-25 10:08:12,512] : 成功入库3条
[2016-10-25 10:08:12,563] : 爬取第13页
[2016-10-25 10:08:12,651] : 爬取到最后一页，从头开始爬取
[2016-10-25 10:08:12,700] : 爬取第1页
[2016-10-25 10:08:12,785] : 爬取完成，解析0条数据
[2016-10-25 10:08:22,815] : 爬取第1页
[2016-10-25 10:08:22,932] : 爬取完成，解析0条数据
[2016-10-25 10:08:32,940] : 爬取第1页
[2016-10-25 10:08:33,841] : 爬取完成，解析0条数据
[2016-10-25 10:08:43,849] : 爬取第1页
[2016-10-25 10:08:44,107] : 爬取完成，解析0条数据
[2016-10-25 10:08:54,116] : 爬取第1页
[2016-10-25 10:08:54,308] : 爬取完成，解析0条数据
[2016-10-25 10:09:04,327] : 爬取第1页
[2016-10-25 10:09:04,490] : 爬取完成，解析0条数据
[2016-10-25 10:09:14,508] : 爬取第1页
[2016-10-25 10:09:14,674] : 爬取完成，解析0条数据
[2016-10-25 10:09:24,691] : 爬取第1页
[2016-10-25 10:09:24,876] : 爬取完成，解析0条数据
[2016-10-25 10:09:34,890] : 爬取第1页
[2016-10-25 10:09:36,580] : 爬取完成，解析0条数据
[2016-10-25 10:09:46,588] : 爬取第1页
[2016-10-25 10:09:48,139] : 爬取完成，解析0条数据
[2016-10-25 10:09:58,146] : 爬取第1页
[2016-10-25 10:09:58,845] : 爬取完成，解析0条数据
[2016-10-25 10:10:08,858] : 爬取第1页
[2016-10-25 10:10:09,663] : 爬取完成，解析0条数据
[2016-10-25 10:10:19,683] : 爬取第1页
[2016-10-25 10:10:21,871] : 爬取完成，解析0条数据
[2016-10-25 10:10:31,887] : 爬取第1页
[2016-10-25 10:10:32,276] : 爬取完成，解析0条数据
[2016-10-25 10:10:42,288] : 爬取第1页
[2016-10-25 10:10:42,826] : 爬取完成，解析0条数据
[2016-10-25 10:10:52,844] : 爬取第1页
[2016-10-25 10:10:53,108] : 爬取完成，解析0条数据
[2016-10-25 10:11:03,116] : 爬取第1页
[2016-10-25 10:11:03,386] : 爬取完成，解析0条数据
[2016-10-25 10:11:13,394] : 爬取第1页
[2016-10-25 10:11:14,171] : 爬取完成，解析0条数据
[2016-10-25 10:11:24,181] : 爬取第1页
[2016-10-25 10:11:25,030] : 爬取完成，解析0条数据
[2016-10-25 10:11:35,039] : 爬取第1页
[2016-10-25 10:11:36,083] : 爬取完成，解析0条数据
[2016-10-25 10:11:46,091] : 爬取第1页
[2016-10-25 10:11:46,782] : 爬取完成，解析0条数据
[2016-10-25 10:11:56,794] : 爬取第1页
[2016-10-25 10:11:57,721] : 爬取完成，解析0条数据
[2016-10-25 10:12:07,742] : 爬取第1页
[2016-10-25 10:12:08,293] : 爬取完成，解析0条数据
[2016-10-25 10:12:18,302] : 爬取第1页
[2016-10-25 10:12:18,819] : 爬取完成，解析0条数据
[2016-10-25 10:12:28,828] : 爬取第1页
[2016-10-25 10:12:30,088] : 爬取完成，解析0条数据
[2016-10-25 10:12:40,107] : 爬取第1页
[2016-10-25 10:12:41,271] : 爬取完成，解析0条数据
[2016-10-25 10:12:51,284] : 爬取第1页
[2016-10-25 10:12:51,747] : 爬取完成，解析0条数据
[2016-10-25 10:13:01,756] : 爬取第1页
[2016-10-25 10:13:03,121] : 成功入库4条
[2016-10-25 10:13:13,130] : 爬取第1页
[2016-10-25 10:13:13,949] : 爬取完成，解析0条数据
[2016-10-25 10:13:23,957] : 爬取第1页
[2016-10-25 10:13:24,759] : 爬取完成，解析0条数据
[2016-10-25 10:13:34,772] : 爬取第1页
[2016-10-25 10:13:35,775] : 爬取完成，解析0条数据
[2016-10-25 10:13:45,798] : 爬取第1页
[2016-10-25 10:13:47,854] : 爬取完成，解析0条数据
[2016-10-25 10:13:57,863] : 爬取第1页
[2016-10-25 10:13:58,147] : 爬取完成，解析0条数据
[2016-10-25 10:14:08,158] : 爬取第1页
[2016-10-25 10:14:09,132] : 爬取完成，解析0条数据
[2016-10-25 10:14:19,147] : 爬取第1页
[2016-10-25 10:14:19,645] : 爬取完成，解析0条数据
[2016-10-25 10:14:29,670] : 爬取第1页
[2016-10-25 10:14:29,887] : 爬取完成，解析0条数据
[2016-10-25 10:14:39,898] : 爬取第1页
[2016-10-25 10:14:40,103] : 爬取完成，解析0条数据
[2016-10-25 10:14:50,126] : 爬取第1页
[2016-10-25 10:14:50,777] : 爬取完成，解析0条数据
[2016-10-25 10:15:00,796] : 爬取第1页
[2016-10-25 10:15:01,432] : 爬取完成，解析0条数据
[2016-10-25 10:15:11,440] : 爬取第1页
[2016-10-25 10:15:11,720] : 爬取完成，解析0条数据
[2016-10-25 10:15:21,737] : 爬取第1页
[2016-10-25 10:15:22,208] : 爬取完成，解析0条数据
[2016-10-25 10:15:32,217] : 爬取第1页
[2016-10-25 10:15:32,559] : 爬取完成，解析0条数据
[2016-10-25 10:15:42,573] : 爬取第1页
[2016-10-25 10:15:42,810] : 爬取完成，解析0条数据
[2016-10-25 10:15:52,829] : 爬取第1页
[2016-10-25 10:15:53,034] : 爬取完成，解析0条数据
[2016-10-25 10:16:03,058] : 爬取第1页
[2016-10-25 10:16:03,764] : 爬取完成，解析0条数据
[2016-10-25 10:16:13,773] : 爬取第1页
[2016-10-25 10:16:14,741] : 爬取完成，解析0条数据
[2016-10-25 10:16:24,765] : 爬取第1页
[2016-10-25 10:16:25,564] : 爬取完成，解析0条数据
[2016-10-25 10:16:35,583] : 爬取第1页
[2016-10-25 10:16:36,017] : 爬取完成，解析0条数据
[2016-10-25 10:16:46,029] : 爬取第1页
[2016-10-25 10:16:46,313] : 爬取完成，解析0条数据
[2016-10-25 10:16:56,322] : 爬取第1页
[2016-10-25 10:16:58,821] : 爬取完成，解析0条数据
[2016-10-25 10:17:08,830] : 爬取第1页
[2016-10-25 10:17:09,379] : 爬取完成，解析0条数据
[2016-10-25 10:17:19,387] : 爬取第1页
[2016-10-25 10:17:19,870] : 爬取完成，解析0条数据
[2016-10-25 10:17:29,886] : 爬取第1页
[2016-10-25 10:17:30,184] : 爬取完成，解析0条数据
[2016-10-25 10:17:40,193] : 爬取第1页
[2016-10-25 10:17:40,475] : 爬取完成，解析0条数据
[2016-10-25 10:17:50,495] : 爬取第1页
[2016-10-25 10:17:50,913] : 爬取完成，解析0条数据
[2016-10-25 10:18:00,923] : 爬取第1页
[2016-10-25 10:18:09,258] : 爬取完成，解析0条数据
[2016-10-25 10:18:19,274] : 爬取第1页
[2016-10-25 10:18:19,632] : 爬取完成，解析0条数据
[2016-10-25 10:18:29,655] : 爬取第1页
[2016-10-25 10:18:30,215] : 成功入库4条
[2016-10-25 10:18:40,229] : 爬取第1页
[2016-10-25 10:18:40,542] : 爬取完成，解析0条数据
[2016-10-25 10:18:50,558] : 爬取第1页
[2016-10-25 10:18:50,883] : 爬取完成，解析0条数据
[2016-10-25 10:19:00,899] : 爬取第1页
[2016-10-25 10:19:01,214] : 爬取完成，解析0条数据
[2016-10-25 10:19:11,233] : 爬取第1页
[2016-10-25 10:19:11,473] : 爬取完成，解析0条数据
[2016-10-25 10:19:21,498] : 爬取第1页
[2016-10-25 10:19:21,693] : 爬取完成，解析0条数据
[2016-10-25 10:19:31,728] : 爬取第1页
[2016-10-25 10:19:31,894] : 爬取完成，解析0条数据
[2016-10-25 10:19:41,911] : 爬取第1页
[2016-10-25 10:19:42,226] : 爬取完成，解析0条数据
[2016-10-25 10:19:52,264] : 爬取第1页
[2016-10-25 10:19:53,048] : 爬取完成，解析0条数据
[2016-10-25 10:20:03,065] : 爬取第1页
[2016-10-25 10:20:03,626] : 爬取完成，解析0条数据
[2016-10-25 10:20:13,642] : 爬取第1页
[2016-10-25 10:20:13,900] : 爬取完成，解析0条数据
[2016-10-25 10:20:23,917] : 爬取第1页
[2016-10-25 10:20:24,119] : 爬取完成，解析0条数据
[2016-10-25 10:20:34,158] : 爬取第1页
[2016-10-25 10:20:34,497] : 爬取完成，解析0条数据
[2016-10-25 10:20:44,512] : 爬取第1页
[2016-10-25 10:20:45,523] : 爬取完成，解析0条数据
[2016-10-25 10:20:55,540] : 爬取第1页
[2016-10-25 10:20:55,765] : 爬取完成，解析0条数据
[2016-10-25 10:21:05,809] : 爬取第1页
[2016-10-25 10:21:06,051] : 爬取完成，解析0条数据
[2016-10-25 10:21:16,085] : 爬取第1页
[2016-10-25 10:21:16,211] : 爬取完成，解析0条数据
[2016-10-25 10:21:26,229] : 爬取第1页
[2016-10-25 10:21:26,405] : 爬取完成，解析0条数据
[2016-10-25 10:21:36,442] : 爬取第1页
[2016-10-25 10:21:36,632] : 爬取完成，解析0条数据
[2016-10-25 10:21:46,677] : 爬取第1页
[2016-10-25 10:21:47,185] : 爬取完成，解析0条数据
[2016-10-25 10:21:57,207] : 爬取第1页
[2016-10-25 10:21:57,364] : 爬取完成，解析0条数据
[2016-10-25 10:22:07,382] : 爬取第1页
[2016-10-25 10:22:08,330] : 爬取完成，解析0条数据
[2016-10-25 10:22:18,350] : 爬取第1页
[2016-10-25 10:22:19,963] : 爬取完成，解析0条数据
[2016-10-25 10:22:29,972] : 爬取第1页
[2016-10-25 10:22:30,355] : 爬取完成，解析0条数据
[2016-10-25 10:22:40,379] : 爬取第1页
[2016-10-25 10:22:40,696] : 爬取完成，解析0条数据
[2016-10-25 10:22:50,720] : 爬取第1页
[2016-10-25 10:22:51,090] : 爬取完成，解析0条数据
[2016-10-25 10:23:01,100] : 爬取第1页
[2016-10-25 10:23:01,308] : 爬取完成，解析0条数据
